character,gender,dialogue,stereotypes,remediated_dialogue
CONT,female,"’D)Mummy sabse khush, poori zindagi bita di mujhe kisi aur ke ghar ke liye tayaar karne mein. Best bahu banegi meri beti, apne pati ko khush rakhegi sabse zyada, baal tak nahi katwane diye.. bola hai Apni saas se pooch ke shaadi ke baad jo marzi karnaMan walks into frame from behind rani, camera shifts focus on to him (rani doesnt look at him) with bottles of beer. Hands it to a young boy.",['relationship-based'],"’D)Mummy sabse khush, poori zindagi bita di mujhe kisi aur ke ghar ke liye tayaar karne mein. Best bahu banegi meri independent young woman, apne pati ko khush rakhegi sabse zyada, baal tak nahi katwane diye.. bola hai Apni saas se pooch ke shaadi ke baad jo marzi karnaMan walks into frame from behind rani, camera shifts focus on to him (rani doesnt look at him) with bottles of beer. Hands it to a young boy."
DADO,female,"ye saari mat peena, raat ke liye bhi rakhna (V.O.)Papa ne to Apni mithai ki dukaan aise sajai hai maano uski shaadi ho. Papa waisey to thodey strict type ke hain... jaisey sabke papa hotey hain... par laad bhi bahut kartey hain... merey ko leke to badey protective hain... aaj tak akele nahi jaane diya kahin. Ek baar college ke saath jaipur gayee toh do sau phone kiye. Actually mujhe bhi akele jaana pasand nahiAn 8 year boy chasing two girls runs into frame he is hitting them with flowers. He is running in between people dancing. He enters picks up more flowers for ammo and runs out of frame. (V.O.) (",['relationship-based'],"ye saari mat peena, raat ke liye bhi rakhna (V.O.)Papa ne to Apni mithai ki dukaan aise sajai hai maano uski shaadi ho. Papa waisey to thodey strict type ke hain... jaisey sabke papa hotey hain... par laad bhi bahut kartey hain... merey ko leke to badey protective hain... aaj tak akele nahi jaane diya kahin. Ek baar college ke saath jaipur gayee toh do sau phone kiye. Actually mujhe bhi akele jaana pasand nahiAn 8 year boy chasing two girls runs into frame he is hitting them with flowers. He is running in between people dancing. He enters picks up more flowers for ammo and runs out of frame. (V.O.) ( She is also pursuing a career of her choice."
DB,female,"ack on ranis face thoughts still going on (V.O.)Do din shaadi se pehle koi aata hai kya? Ladoongi jab miloongi main... Achcha nahi ladoongi.. Itna khush rakhungi na bas... (smiles) subah tayaar kar ke office, shaam ko khana bana ke wait, sunday ko movie, discuss nahi kiya but i think Vijay ko beti chahiye.. Par london! Uff bohot darr lagg raha hai london jaane ko, par Ritu bhi gayee thee, settle ho gayee achche se. aur waisey bhi Vijay to aisa hai ke sadak bhi akele cross nahi karne deta... voh khayal rakhega na mera.. Actually main darti varti nahi hoonOn her face, day changes to night, lights come on and she is glowing. Someone comes, holds her hands and drags her to the floor. She leaves her thoughts behind, joins them and starts dancing  Music picks up.",['relationship-based'],"ack on ranis face thoughts still going on (V.O.)Do din shaadi se pehle koi aata hai kya? Ladoongi jab miloongi main... Achcha nahi ladoongi.. Itna khush rakhungi na bas... (smiles) subah tayaar kar ke office, shaam ko khana bana ke wait, sunday ko movie, discuss nahi kiya but i think Vijay ko independent young woman chahiye.. Par london! Uff bohot darr lagg raha hai london jaane ko, par Ritu bhi gayee thee, settle ho gayee achche se. aur waisey bhi Vijay to aisa hai ke sadak bhi akele cross nahi karne deta... voh khayal rakhega na mera.. Actually main darti varti nahi hoonOn her face, day changes to night, lights come on and she is glowing. Someone comes, holds her hands and drags her to the floor. She leaves her thoughts behind, joins them and starts dancing  Music picks up."
CONT,female,’D)Main tumharey angle se hi soch raha hoon... Tum hi uncomfortable feel karogi... bahut time ho gaya hai... bahut fark aa gaya haiShe looks at him,['relationship-based'],She manages responsibilities while following her ambitions.
CHINTU,female,"(approaching her, very concerned) Kya hua didi? didi ro kyun rahey ho? Kya hua?Chintu confused He quickly runs back into the cafe. He is not sure if he should confront Vijay or run after his sister, still runs inside.",['relationship-based'],"(approaching her, very concerned) Kya hua didi? didi ro kyun rahey ho? Kya hua?Chintu confused He quickly runs back into the cafe. He is not sure if he should confront Vijay or run after his sister, still runs inside."
CONT,male,’D)Dekh loonga!And then runs behind his sister.,['relationship-based'],’D)Dekh loonga!And then runs behind his sister.
RANIA,female,"apko hi sunayeingi... kaheingi Sab aapki galati hai(irritatingly) dukaan pe bithana hai ladki ko? mithayiyaan banwa rahey ho... halwayi banana hai? Yehi time kitchen mein haath bata deti toh shaadi jaldi ho jayegi... syappa! (both together)They laugh. Just then a man, his son and his wife walk to the shop. Dad and the man see each other",['relationship-based'],"apko hi sunayeingi... kaheingi Sab aapki galati hai(irritatingly) dukaan pe bithana hai ladki ko? mithayiyaan banwa rahey ho... halwayi banana hai? Yehi time kitchen mein haath bata deti toh shaadi jaldi ho jayegi... syappa! (both together)They laugh. Just then a man, his son and his working partner walk to the shop. Dad and the man see each other"
DHINGRAA,female,b bhai papa ki mithayi ki dukaan hai beti to aisey hi chashni mein doobi dubayi si hogi...Rani smiles shyly,['relationship-based'],b bhai papa ki mithayi ki dukaan hai independent young woman to aisey hi chashni mein doobi dubayi si hogi...Rani smiles shyly
VIJAYM,male,"ain engineering,",['profession-based'],"ain engineering,"
SONALV,female,oh to last week tha... uskey baad to aur bahut kuch chakh aayiAnd sonal starts laughing.,['relationship-based'],She manages responsibilities while following her ambitions.
SONALI,female,smein sick kya hai? Papa ne to already kissi phagwarey waley se baat ki huyi hai merey liye... jooton ke sole banata hai... saari life bane rehna hai na good wife? uss se pehley kyun na chatkarey maar loon?,['relationship-based'],smein sick kya hai? Papa ne to already kissi phagwarey waley se baat ki huyi hai merey liye... jooton ke sole banata hai... saari life bane rehna hai na good working partner? uss se pehley kyun na chatkarey maar loon?
MORE,male,) Ke husband ko pata chalega? Kuch pata nahin chalta unko.. Main to har baari kehti hoon pehli baar hai... sab maan jaatey hain...,['relationship-based'],) Ke husband ko pata chalega? Kuch pata nahin chalta unko.. Main to har baari kehti hoon pehli baar hai... sab maan jaatey hain...
RANI,male,"maanney do... main aise hi theek hoon, mainey sab time to time planning ki huyi hai already...  23 saal mein shaadi, honeymoon aur 27 tak do bachche",['relationship-based'],"maanney do... main aise hi theek hoon, mainey sab time to time planning ki huyi hai already...  23 saal mein shaadi, honeymoon aur 27 tak do bachche She is also pursuing a career of her choice."
VIJAYB,female,us... ab bahut ho gaya... Maine decide kar liya hai! Main tumhe aaj se “Rani” nahi bulaoongaShe gives him a look and walks away.,['relationship-based'],She manages responsibilities while following her ambitions.
VIJAYH,female,ar baar kaam karta haiHer lips twitch. She turns to hide it.,['profession-based'],ar baar kaam karta haiHer lips twitch. She turns to hide it. She deserves equal recognition for her contribution.
CONT,female,"’D)Kaam kiya?She looks busy, trying to find a book.Ra",['profession-based'],"’D)Kaam kiya?She looks busy, trying to find a book.Ra"
NIA,male,bhi mujhey kaam karna hai,['profession-based'],bhi mujhey kaam karna hai She deserves equal recognition for her contribution.
CONT,male,’D)Manchow. (cajoling) maanjao,['relationship-based'],’D)Manchow. (cajoling) maanjao
AR,female,ani’s mom is outside the door looking worried and helpless. One of the maasis is holding her. Other relatives are trying to chip in to help. Kamla bua is holding rani’s mom,['relationship-based'],ani’s mom is outside the door looking worried and helpless. One of the maasis is holding her. Other relatives are trying to chip in to help. Kamla bua is holding rani’s mom
AUNT,female,"2Beti main indore wali chachi, baat toh kar",['relationship-based'],"2Beti main indore wali chachi, baat toh kar"
TAAYAH,male,aan bhai wahan to badi opportunity hai... memaan hi memaan phirdiyaan sajjey khabbey...,['relationship-based'],aan bhai wahan to badi opportunity hai... memaan hi memaan phirdiyaan sajjey khabbey...
AUNT,male,2Mujhey lily bata rahi thi... apni puneeta? Jidda umesh de naal vyah hoya si? london vich memaan sastiyaa te aata mehenga,['relationship-based'],2Mujhey lily bata rahi thi... apni puneeta? Jidda umesh de naal vyah hoya si? london vich memaan sastiyaa te aata mehenga
TAAYA,male,(as an aside) Kudi da dimaag kharaab ho gaya hai,['relationship-based'],(as an aside) Kudi da dimaag kharaab ho gaya hai
CHACHAF,male,oreign ka trip maarna hi hai to...,['relationship-based'],oreign ka trip maarna hi hai to...
MOMB,male,"eta vo mahinder jeeja ji ke yahaan aaj maata ki chowki hai, minky mama ke saath ja rahey hain... tere liye pooja karne",['relationship-based'],"eta vo mahinder jeeja ji ke yahaan aaj maata ki chowki hai, minky mama ke saath ja rahey hain... tere liye pooja karne"
CHINTUM,male,"ummy mujhe nahi jaana, (to rani) didi bolo na mujhe nahi jaana... binny maasi gaal hi kheenchti rehti hai",['relationship-based'],"ummy mujhe nahi jaana, (to rani) didi bolo na mujhe nahi jaana... binny maasi gaal hi kheenchti rehti hai"
CONT,male,"’D)Please dont tell my boss i have sex in guest room, i loose my job, please dont tell my boss Rani nods an ok",['profession-based'],"’D)Please dont tell my boss i have sex in guest room, i loose my job, please dont tell my boss Rani nods an ok She deserves equal recognition for her contribution."
RANI,female,bahut cute hai kiska hai? whose?,['relationship-based'],She manages responsibilities while following her ambitions.
DADIK,female,ya gul khila rahi hai neri beti,['relationship-based'],ya gul khila rahi hai neri independent young woman
VIJAYT,male,um bhi kamaal ho queen! main tumhey rajori se nikaal bhi loon... rajori tumharey andar se nahin niklega...  Rani looks a little hurt,['relationship-based'],um bhi kamaal ho queen! main tumhey rajori se nikaal bhi loon... rajori tumharey andar se nahin niklega...  Rani looks a little hurt
CONT,female,"’D)Behenji bol ke nikal diya mujhe, khud toh badaa hero banta hai jaise, sonal toh bus conductor bulati thi, mere peeche pad pad ke pataaya mujhe, kutta! (with a lot of effort)Vijaylaxmi is looking at her. Rani has stood up and some passer by people also stop",['relationship-based'],"’D)Behenji bol ke nikal diya mujhe, khud toh badaa hero banta hai jaise, sonal toh bus conductor bulati thi, mere peeche pad pad ke pataaya mujhe, kutta! (with a lot of effort)Vijaylaxmi is looking at her. Rani has stood up and some passer by people also stop"
CONT,male,"’D)Par vijay aap bhi kamal ho... raat ko party, subah kaam aur chintu ko sambhalna, aapke husband office chale gaye?",['profession-based'],"’D)Par vijay aap bhi kamal ho... raat ko party, subah kaam aur chintu ko sambhalna, aapke husband office chale gaye? She deserves equal recognition for her contribution."
RANIH,female,umne bhi bahut aesh kee thee vahaan,['relationship-based'],She manages responsibilities while following her ambitions.
VERMAT,female,chHis wife calls out,['relationship-based'],chHis working partner calls out
DAY,female,8888Rani has a haversack on her back and the same behenji purse on one arm,['relationship-based'],8888Rani has a haversack on her back and the same behenji purse on one arm
CONT,female,"’D)Rani.... Vijay nahi toh kya... vjaylaxmi toh hai...Rani amazed, smiles vijaylaxmi from far does a step rani turns and walks...Rani has a haversack on her back and the same behenji purse on one arm",['relationship-based'],"’D)Rani.... Vijay nahi toh kya... vjaylaxmi toh hai...Rani amazed, smiles vijaylaxmi from far does a step rani turns and walks...Rani has a haversack on her back and the same behenji purse on one arm"
VIJAY,male,huzaar rupaye kamaaney hain?,['relationship-based'],huzaar rupaye kamaaney hain?
CHINTUD,male,o hazaar lageingey... didi agra to gayi nahin jo itney mein tera kaam ho jayega... foreign ka rate zyada ha...80.,['profession-based'],o hazaar lageingey... didi agra to gayi nahin jo itney mein tera kaam ho jayega... foreign ka rate zyada ha...80. She deserves equal recognition for her contribution.
RANIM,female,ainey bhi bahut socha... vijaylakshmi se baat karney ke baad,['relationship-based'],She manages responsibilities while following her ambitions.
RANIH,male,aan koyi beleieve nahin karega ... par mera na bada tez dimaag hai paison ke maamley mein,['relationship-based'],aan koyi beleieve nahin karega ... par mera na bada tez dimaag hai paison ke maamley mein
RANIW,male,"oh Chaddha uncle keh rahein the ki main unke wahan job kar loo jab tak shaadi hoti hai tab tak, unko bhi help ho jayegi... jab se mini gayi hai koyi hai nahin unka haath bataaney ke liyeVijay listening but not responding",['profession-based'],"oh Chaddha uncle keh rahein the ki main unke wahan job kar loo jab tak shaadi hoti hai tab tak, unko bhi help ho jayegi... jab se mini gayi hai koyi hai nahin unka haath bataaney ke liyeVijay listening but not responding She deserves equal recognition for her contribution."
VIJAY,male,"kya zaroorat hai job wob karne ki,",['profession-based'],"kya zaroorat hai job wob karne ki, She deserves equal recognition for her contribution."
RANI,female,real job nahin hai... khaana achha bana leti hoon to unhoney bola... aisey hi...,['profession-based'],real job nahin hai... khaana achha bana leti hoon to unhoney bola... aisey hi... She deserves equal recognition for her contribution.
MIKHAELON,female,"o... facebook friends... lee... japan... tsunami... woosh... mama papa... gone... home gone... job gone... so we come on holiday... make him happy108. We see his sketch almost over, a beautiful skyline but dark smoke coming out of the chimneyShe looks at him wonderingWe hear faint punjabi song that gets louder. Rani’s attention goes towards the song, its the same song from Rani’s sangeet. Lee is screaming, Rani runs to the egde of the wall.",['profession-based'],"o... facebook friends... lee... japan... tsunami... woosh... mama papa... gone... home gone... job gone... so we come on holiday... make him happy108. We see his sketch almost over, a beautiful skyline but dark smoke coming out of the chimneyShe looks at him wonderingWe hear faint punjabi song that gets louder. Rani’s attention goes towards the song, its the same song from Rani’s sangeet. Lee is screaming, Rani runs to the egde of the wall. She deserves equal recognition for her contribution."
CONT,male,’D)From sharjah... aap kya nosh farmaana pasand kareingi... tea? Coffee?,['relationship-based'],’D)From sharjah... aap kya nosh farmaana pasand kareingi... tea? Coffee?
RUKHSAAR,male,allah ki dua se ghar mein saat behn hai… aur abba hazoor allah taala ko pyarey ho gaye… ab main baita hoon… kamaana to hai… (shrugs) to ghum karna fizool hai na?,['relationship-based'],allah ki dua se ghar mein saat behn hai… aur abba hazoor allah taala ko pyarey ho gaye… ab main baita hoon… kamaana to hai… (shrugs) to ghum karna fizool hai na?
RANIT,male,o koyi job... aur kuch nahin kar sakti?Rukhsaar gives a rueful smile,['profession-based'],o koyi job... aur kuch nahin kar sakti?Rukhsaar gives a rueful smile She deserves equal recognition for her contribution.
RUKHSAARA,female,gar milta to karti... recession hai... waisey...Commerce mein taleem hai… abhi jab tak job nahin milti yeh hai… aur yahan achha job maantey hain issey… yahan ki government ne tasleem kiya hai… ke sab benefit mileingi… achhi raqam bhi milti hai... aur ghar jab paisa jaata hai... to voh sirf paisa hota hai... jis sey ek behen school do behen to college mein taleem le rahi hai... aur ek ka nikaah hua haal hi mein... Rani looks at rukhsaar with respect. Rukhsaar shakes herself out of this mood113.,"['relationship-based', 'profession-based']",gar milta to karti... recession hai... waisey...Commerce mein taleem hai… abhi jab tak job nahin milti yeh hai… aur yahan achha job maantey hain issey… yahan ki government ne tasleem kiya hai… ke sab benefit mileingi… achhi raqam bhi milti hai... aur ghar jab paisa jaata hai... to voh sirf paisa hota hai... jis sey ek behen school do behen to college mein taleem le rahi hai... aur ek ka nikaah hua haal hi mein... Rani looks at rukhsaar with respect. Rukhsaar shakes herself out of this mood113. She deserves equal recognition for her contribution.
CONT,male,’D)chalo kaam ka waqt ho gaya(shows pole dancing move) pole dance ... chalo... dekho aake...,['profession-based'],’D)chalo kaam ka waqt ho gaya(shows pole dancing move) pole dance ... chalo... dekho aake... She deserves equal recognition for her contribution.
RUKHSAARK,female,ya nahin nahin... chalo... bahut khoobsoorat kartey hain... apney dost ko bhi lao... Rani wonders what to do.,['relationship-based'],She manages responsibilities while following her ambitions.
CUT TO,female,:Lee is watching the pole dancer when he notices yana and walks upto her and yana removes her heels and stand right in front of him and they dance. Rani standing at the bar where roxette is performing and clapping as if its a “maata ki chowki”.,['relationship-based'],:Lee is watching the pole dancer when he notices yana and walks upto her and yana removes her heels and stand right in front of him and they dance. Rani standing at the bar where roxette is performing and clapping as if its a “maata ki chowki”.
CONT,female,’D)Mujhe to tumsey bus baat karni thi... sorry bolna tha tumhey... bahut miss kiya tumhey...  Comes closer,['relationship-based'],She manages responsibilities while following her ambitions.
CONT,female,"’D)Papa mujhe na... Vijay ke yahan utaar dena...  kuch kaam haiHer mom and dad exchange a look, Rani is just looking at her ring and fidgeting with it.",['profession-based'],"’D)Papa mujhe na... Vijay ke yahan utaar dena...  kuch kaam haiHer mom and dad exchange a look, Rani is just looking at her ring and fidgeting with it. She deserves equal recognition for her contribution."
CONT,female,’D)Chal achcha hua tu aa gayee... meri toh chhuttiyaan shuru... tu aake ghar sambhal... main to kehti hoon uskey saath london jaaney ke bhi koyi zaroorat nahin hai... hum dono ma beti aish kareingi na... roz subah uth ke chai... phir gappein... magazine padhna... parlor jaana... meri kitty bhi join kar lena tu... Rani smiles at her amused. Vijay's mom is a little disconcerted.,['relationship-based'],’D)Chal achcha hua tu aa gayee... meri toh chhuttiyaan shuru... tu aake ghar sambhal... main to kehti hoon uskey saath london jaaney ke bhi koyi zaroorat nahin hai... hum dono ma independent young woman aish kareingi na... roz subah uth ke chai... phir gappein... magazine padhna... parlor jaana... meri kitty bhi join kar lena tu... Rani smiles at her amused. Vijay's mom is a little disconcerted.
